1495937,04/22/2017,,3,7,9,14,15,26,28,31,34,35,43,46,48,49,50,54,56,57,65,70
1495903,04/21/2017,,4,7,10,11,13,15,16,19,20,32,33,38,48,54,55,57,61,62,64,68
1495877,04/20/2017,,4,15,19,20,27,31,32,35,36,39,40,44,46,48,50,57,59,61,64,70
1495843,04/19/2017,,6,10,19,21,24,25,27,29,31,33,34,41,43,45,50,52,58,62,66,67
1495812,04/18/2017,,6,9,10,11,12,19,25,28,32,33,38,41,53,56,58,60,61,66,69,70
1495785,04/17/2017,,1,2,3,10,18,25,30,32,35,37,42,43,45,49,56,59,62,63,66,67
1495730,04/16/2017,,1,4,5,6,9,12,13,17,20,22,31,37,42,47,50,53,55,61,67,68
1495731,04/15/2017,,3,10,13,15,16,18,25,30,34,42,44,45,48,49,51,54,59,61,63,67
1495732,04/14/2017,,4,13,14,15,16,20,28,30,31,32,35,40,41,45,47,48,60,63,67,70
1495667,04/13/2017,,2,4,5,12,14,18,24,26,29,32,36,37,47,48,52,55,56,57,60,66
1495634,04/12/2017,,1,4,6,12,33,34,36,37,43,51,52,54,58,59,60,61,62,63,66,67
1495602,04/11/2017,,4,5,12,13,17,18,23,24,28,29,30,33,47,48,50,53,54,55,56,59
1495576,04/10/2017,,3,4,6,13,16,22,24,25,27,28,30,32,40,48,50,57,59,60,64,69
1495551,04/09/2017,,6,7,10,22,28,29,31,33,35,38,39,41,47,50,52,53,55,58,59,60
1495518,04/08/2017,,5,8,11,12,14,16,20,22,29,37,38,42,45,46,47,48,49,56,65,70
1495484,04/07/2017,,4,10,14,16,19,22,24,25,28,29,30,31,39,44,47,52,53,57,65,68
1495458,04/06/2017,,4,7,8,10,16,19,21,22,26,35,43,47,50,52,60,65,66,68,69,70
1495406,04/05/2017,,5,7,9,12,14,15,16,20,28,29,33,40,46,47,50,51,56,60,61,65
1495407,04/04/2017,,10,15,16,17,23,25,26,29,39,40,42,45,46,48,49,57,59,65,67,70
1495408,04/03/2017,,2,8,15,16,18,19,20,23,27,29,30,32,37,42,47,54,55,59,62,66
1495343,04/02/2017,,1,6,8,15,21,34,35,37,38,39,43,44,45,50,51,55,57,60,61,69
1495311,04/01/2017,,4,5,6,7,15,18,19,20,21,24,29,34,36,37,43,44,46,57,66,68
1495277,03/31/2017,,3,5,8,11,13,25,31,33,35,36,37,38,40,42,48,49,56,64,67,68
1495252,03/30/2017,,3,4,5,7,8,11,13,18,22,27,28,40,42,47,49,50,57,61,62,68
1495218,03/29/2017,,3,9,19,22,24,26,32,37,38,39,51,52,55,57,59,61,62,63,64,67
1495188,03/28/2017,,4,10,13,15,19,20,28,30,35,36,37,40,41,46,47,50,51,61,66,67
1495162,03/27/2017,,8,9,10,12,14,15,20,22,23,34,39,40,44,46,47,50,51,54,60,70
1495136,03/26/2017,,1,5,9,10,12,16,18,24,25,26,33,39,40,47,54,55,58,65,66,68
1495103,03/25/2017,,8,14,15,18,22,23,25,30,36,39,41,42,43,44,45,54,55,56,65,66
1495069,03/24/2017,,3,6,8,10,16,19,21,31,38,39,43,44,46,50,55,57,63,64,69,70
1495043,03/23/2017,,6,8,11,16,19,21,25,27,29,37,38,42,45,51,54,56,58,65,66,68
1495009,03/22/2017,,4,12,13,18,20,21,25,33,37,39,41,44,46,49,50,51,53,58,61,64
1494978,03/21/2017,,3,6,8,12,13,20,24,27,30,38,46,51,55,56,57,58,61,68,69,70
1494952,03/20/2017,,7,8,9,14,19,20,25,34,35,37,38,42,45,46,48,50,59,63,69,70
1494909,03/19/2017,,4,5,6,9,20,26,28,31,35,37,43,44,47,50,52,55,57,59,61,70
1494910,03/18/2017,,9,10,11,17,21,23,24,28,31,48,49,54,55,57,59,61,63,65,66,67
1494859,03/17/2017,,3,8,10,12,22,28,29,30,33,36,40,43,53,55,56,57,63,65,66,67
1494833,03/16/2017,,1,10,11,20,23,26,28,30,34,35,37,43,46,49,56,61,63,65,68,69
1494800,03/15/2017,,2,5,6,7,10,12,15,16,18,20,29,32,34,38,39,46,55,59,62,69
1494769,03/14/2017,,2,6,9,16,18,20,25,29,31,32,38,40,41,43,47,52,58,59,69,70
1494743,03/13/2017,,1,8,10,12,16,21,23,25,26,34,38,40,44,46,47,50,54,63,65,70
1494717,03/12/2017,,2,4,7,17,21,27,29,31,38,39,42,43,46,50,54,55,56,61,64,68
1494684,03/11/2017,,1,6,7,12,14,19,25,26,27,28,31,32,37,39,41,43,50,53,57,61
1494650,03/10/2017,,14,16,27,28,32,33,35,37,40,41,45,47,49,51,54,63,64,66,67,68
1494624,03/09/2017,,2,3,5,6,17,18,27,38,41,44,47,49,50,51,52,56,61,63,66,69
1494590,03/08/2017,,3,5,6,17,19,26,28,33,34,35,36,38,42,43,48,53,56,58,66,70
1494559,03/07/2017,,3,8,11,13,18,20,24,26,29,33,40,41,44,54,55,61,63,65,67,70
1494533,03/06/2017,,2,5,7,20,22,32,34,36,37,38,43,44,45,52,55,56,58,59,62,65
1494508,03/05/2017,,1,4,6,7,8,10,12,13,15,22,38,42,45,52,56,58,60,64,65,68
1494476,03/04/2017,,1,7,10,17,25,29,31,33,34,35,36,38,39,48,52,55,58,60,61,64
1494442,03/03/2017,,3,15,23,24,31,32,35,36,38,40,41,42,43,44,50,57,60,61,63,65
1494416,03/02/2017,,1,11,12,15,20,25,26,27,30,36,37,41,43,45,54,55,57,62,66,70
1494384,03/01/2017,,3,4,12,17,23,26,27,32,33,35,36,38,44,49,51,56,62,66,67,68
1494352,02/28/2017,,5,10,21,23,26,28,30,32,34,38,48,49,53,57,58,59,60,64,65,66
