1494798,03/15/2017,,5,9,14,15,16,17,24,29,31,34,39,45,46,51,52,53,59,62,63,67
1494768,03/14/2017,,1,2,3,7,9,10,11,20,31,32,35,36,46,50,51,55,56,57,66,68
1494742,03/13/2017,,3,6,7,8,11,14,17,20,21,30,34,39,41,42,44,47,55,57,58,66
1494716,03/12/2017,,1,2,6,8,11,16,18,19,24,29,30,37,48,57,58,59,61,66,67,69
1494682,03/11/2017,,6,8,10,19,27,30,32,33,34,37,38,40,41,45,46,50,52,57,63,68
1494649,03/10/2017,,3,21,24,26,29,30,32,37,38,48,49,50,52,53,55,57,60,67,69,70
1494623,03/09/2017,,3,6,8,10,11,12,15,19,26,34,44,47,48,52,56,60,62,64,65,69
1494588,03/08/2017,,10,11,12,16,23,25,26,35,38,39,43,48,49,51,53,55,58,60,62,64
1494558,03/07/2017,,4,5,8,9,15,18,26,27,28,29,32,33,34,41,46,47,53,54,61,70
1494532,03/06/2017,,1,2,7,9,12,15,23,29,30,31,37,42,48,54,56,61,64,66,68,70
1494507,03/05/2017,,1,3,4,9,17,18,22,23,24,29,34,37,39,43,45,47,49,58,62,70
1494474,03/04/2017,,1,10,17,24,25,28,33,34,35,39,45,50,52,54,56,61,62,63,68,69
1494441,03/03/2017,,3,10,12,13,15,20,25,30,34,37,44,47,48,49,50,54,60,63,67,70
1494382,03/01/2017,,4,5,6,8,10,11,13,15,23,26,37,42,45,46,48,50,52,59,63,68
1494351,02/28/2017,,2,4,5,9,15,17,20,29,34,35,36,40,41,47,52,56,57,58,61,66
1494326,02/27/2017,,1,4,12,16,21,26,28,36,39,41,43,44,45,46,49,58,59,61,64,69
1494300,02/26/2017,,1,4,7,9,10,13,23,26,27,37,39,40,44,46,53,54,63,67,69,70
1494301,02/25/2017,,7,15,16,17,25,30,32,40,42,43,48,52,55,57,59,60,63,67,68,70
1494233,02/24/2017,,1,4,8,14,18,20,26,29,34,36,37,41,43,44,47,52,57,66,69,70
1494206,02/23/2017,,1,9,12,13,16,17,29,33,34,35,38,44,46,48,49,52,53,57,58,70
1494172,02/22/2017,,1,2,5,6,9,12,16,26,27,30,31,32,35,37,48,58,60,62,68,70
1494142,02/21/2017,,2,10,14,24,25,26,28,31,36,37,46,47,53,55,56,58,59,62,67,69
1494116,02/20/2017,,1,4,8,9,10,13,14,20,23,30,41,42,43,52,54,58,63,64,65,70
1494071,02/19/2017,,4,6,12,14,18,20,22,24,25,31,37,41,44,47,50,57,59,62,68,70
1494072,02/18/2017,,1,5,9,15,18,24,26,34,35,36,44,47,52,55,57,59,62,66,69,70
1494024,02/17/2017,,4,5,12,17,20,30,31,34,35,37,39,45,49,50,52,53,57,65,69,70
1493997,02/16/2017,,9,14,18,21,24,26,29,31,40,43,48,50,51,52,54,55,58,60,64,66
