75,49,47,1368763200,53,22,1,54,78,42,24, ,http://www.montanalottery.com/wi,19,50,11,1367676000,74,46,Fri May 17 00:00:00 -0400 2013,32,13,33,1329371,45,36,14,2013-05-04 14:00:00 UTC
70,53,50,1368763200,60,24,1,65,79,46,30, ,http://www.montanalottery.com/wi,19,57,7,1367640000,66,48,Fri May 17 00:00:00 -0400 2013,35,16,38,1329307,47,40,20,2013-05-04 04:00:00 UTC
75,57,51,1368763200,63,27,1,69,79,43,29, ,http://www.montanalottery.com/wi,19,61,13,1367589600,73,45,Fri May 17 00:00:00 -0400 2013,30,20,38,1329172,44,41,22,2013-05-03 14:00:00 UTC
60,49,48,1368763200,51,15,3,53,73,34,16, ,http://www.montanalottery.com/wi,19,50,10,1367553600,55,36,Fri May 17 00:00:00 -0400 2013,22,11,27,1329108,35,31,13,2013-05-03 04:00:00 UTC
74,47,41,1368763200,57,16,5,66,75,36,27, ,http://www.montanalottery.com/wi,19,56,6,1367503200,71,39,Fri May 17 00:00:00 -0400 2013,31,8,33,1328972,38,35,10,2013-05-02 14:00:00 UTC
79,71,61,1368763200,74,17,3,77,80,54,32, ,http://www.montanalottery.com/wi,19,72,8,1367467200,78,60,Fri May 17 00:00:00 -0400 2013,37,10,48,1328926,59,51,13,2013-05-02 04:00:00 UTC
77,45,44,1368763200,72,13,3,74,80,31,17, ,http://www.montanalottery.com/wi,19,64,4,1367416800,75,38,Fri May 17 00:00:00 -0400 2013,19,5,23,1328770,35,26,11,2013-05-01 14:00:00 UTC
73,53,50,1368763200,62,17,3,71,74,34,22, ,http://www.montanalottery.com/wi,19,55,4,1367380800,72,45,Fri May 17 00:00:00 -0400 2013,26,10,28,1328645,35,33,15,2013-05-01 04:00:00 UTC
66,50,40,1368763200,58,17,2,63,77,31,18, ,http://www.montanalottery.com/wi,19,54,6,1367330400,65,36,Fri May 17 00:00:00 -0400 2013,19,13,25,1328545,34,26,14,2013-04-30 14:00:00 UTC
69,60,53,1368763200,63,19,3,64,75,35,20, ,http://www.montanalottery.com/wi,19,62,4,1367294400,68,43,Fri May 17 00:00:00 -0400 2013,29,8,30,1328509,39,31,10,2013-04-30 04:00:00 UTC
74,46,43,1368763200,67,17,1,70,78,37,28, ,http://www.montanalottery.com/wi,19,63,10,1367244000,72,40,Fri May 17 00:00:00 -0400 2013,30,13,31,1328390,39,32,14,2013-04-29 14:00:00 UTC
75,47,37,1368763200,52,13,1,57,77,27,16, ,http://www.montanalottery.com/wi,19,51,4,1367208000,69,31,Fri May 17 00:00:00 -0400 2013,17,5,20,1328326,29,21,8,2013-04-29 04:00:00 UTC
77,55,54,1368763200,67,14,2,70,79,46,22, ,http://www.montanalottery.com/wi,19,65,7,1367157600,72,52,Fri May 17 00:00:00 -0400 2013,23,9,24,1328224,49,25,12,2013-04-28 14:00:00 UTC
77,59,57,1368763200,69,28,5,70,80,41,32, ,http://www.montanalottery.com/wi,19,64,12,1367121600,75,50,Fri May 17 00:00:00 -0400 2013,33,14,37,1328176,45,40,19,2013-04-28 04:00:00 UTC
75,56,47,1368763200,62,11,1,67,76,28,13, ,http://www.montanalottery.com/wi,19,58,2,1367071200,68,43,Fri May 17 00:00:00 -0400 2013,16,5,23,1328026,30,26,7,2013-04-27 14:00:00 UTC
78,57,53,1368763200,67,22,3,68,79,39,24, ,http://www.montanalottery.com/wi,19,65,5,1367035200,73,45,Fri May 17 00:00:00 -0400 2013,27,12,32,1327959,44,35,17,2013-04-27 04:00:00 UTC
77,64,63,1368763200,70,33,1,73,78,58,34, ,http://www.montanalottery.com/wi,19,67,8,1366984800,75,62,Fri May 17 00:00:00 -0400 2013,41,12,47,1327826,60,50,22,2013-04-26 14:00:00 UTC
73,61,57,1368763200,66,11,1,70,77,43,13, ,http://www.montanalottery.com/wi,19,65,3,1366948800,71,56,Fri May 17 00:00:00 -0400 2013,26,5,37,1327758,51,39,10,2013-04-26 04:00:00 UTC
77,46,45,1368763200,62,9,2,66,78,38,14, ,http://www.montanalottery.com/wi,19,58,4,1366898400,73,44,Fri May 17 00:00:00 -0400 2013,17,5,24,1327642,43,32,7,2013-04-25 14:00:00 UTC
69,43,40,1368763200,50,7,1,62,71,22,8, ,http://www.montanalottery.com/wi,19,49,2,1366862400,68,34,Fri May 17 00:00:00 -0400 2013,9,3,17,1327581,33,19,5,2013-04-25 04:00:00 UTC
73,55,54,1368763200,58,11,4,65,76,33,14, ,http://www.montanalottery.com/wi,19,57,5,1366812000,70,50,Fri May 17 00:00:00 -0400 2013,21,6,25,1327425,35,31,7,2013-04-24 14:00:00 UTC
78,55,54,1368763200,59,18,2,70,79,49,28, ,http://www.montanalottery.com/wi,19,58,5,1366776000,71,53,Fri May 17 00:00:00 -0400 2013,33,7,34,1327362,50,35,8,2013-04-24 04:00:00 UTC
67,45,40,1368763200,55,7,1,56,68,30,9, ,http://www.montanalottery.com/wi,19,47,4,1366725600,65,39,Fri May 17 00:00:00 -0400 2013,22,5,25,1327233,31,29,6,2013-04-23 14:00:00 UTC
74,50,47,1368763200,60,18,1,64,77,38,25, ,http://www.montanalottery.com/wi,19,55,4,1366689600,65,46,Fri May 17 00:00:00 -0400 2013,31,14,33,1327166,43,36,15,2013-04-23 04:00:00 UTC
75,49,39,1368763200,59,10,1,60,77,28,13, ,http://www.montanalottery.com/wi,19,52,2,1366639200,69,38,Fri May 17 00:00:00 -0400 2013,16,3,23,1327044,32,24,6,2013-04-22 14:00:00 UTC
76,59,54,1368763200,65,27,3,71,80,41,28, ,http://www.montanalottery.com/wi,19,61,4,1366603200,74,51,Fri May 17 00:00:00 -0400 2013,34,16,36,1326981,42,38,19,2013-04-22 04:00:00 UTC
77,68,66,1368763200,73,20,8,75,79,42,27, ,http://www.montanalottery.com/wi,19,71,10,1366552800,76,65,Fri May 17 00:00:00 -0400 2013,32,13,39,1326877,60,41,16,2013-04-21 14:00:00 UTC
72,51,46,1368763200,62,13,1,63,79,33,17, ,http://www.montanalottery.com/wi,19,54,2,1366516800,67,39,Fri May 17 00:00:00 -0400 2013,23,9,24,1326830,34,31,10,2013-04-21 04:00:00 UTC
76,61,58,1368763200,65,22,1,69,78,39,23, ,http://www.montanalottery.com/wi,19,62,14,1366466400,74,44,Fri May 17 00:00:00 -0400 2013,26,17,32,1326680,41,33,20,2013-04-20 14:00:00 UTC
74,51,50,1368763200,58,18,1,69,78,40,22, ,http://www.montanalottery.com/wi,19,52,2,1366430400,70,47,Fri May 17 00:00:00 -0400 2013,24,16,30,1326616,45,38,17,2013-04-20 04:00:00 UTC
64,43,42,1368763200,51,11,1,56,80,28,16, ,http://www.montanalottery.com/wi,19,49,8,1366380000,60,38,Fri May 17 00:00:00 -0400 2013,20,9,21,1326477,35,23,10,2013-04-19 14:00:00 UTC
67,42,39,1368763200,58,21,1,63,75,35,26, ,http://www.montanalottery.com/wi,19,54,3,1366344000,65,38,Fri May 17 00:00:00 -0400 2013,28,5,32,1326415,36,33,19,2013-04-19 04:00:00 UTC
72,61,53,1368763200,64,15,1,69,77,34,21, ,http://www.montanalottery.com/wi,19,62,5,1366293600,71,47,Fri May 17 00:00:00 -0400 2013,22,8,29,1326295,42,32,10,2013-04-18 14:00:00 UTC
78,61,54,1368763200,70,36,2,73,79,50,41, ,http://www.montanalottery.com/wi,19,64,8,1366257600,74,53,Fri May 17 00:00:00 -0400 2013,44,11,45,1326218,51,49,16,2013-04-18 04:00:00 UTC
71,57,55,1368763200,62,27,6,69,74,45,28, ,http://www.montanalottery.com/wi,19,59,17,1366207200,70,48,Fri May 17 00:00:00 -0400 2013,36,19,37,1326079,47,38,22,2013-04-17 14:00:00 UTC
77,52,51,1368763200,56,17,3,72,79,39,20, ,http://www.montanalottery.com/wi,19,53,7,1366171200,73,47,Fri May 17 00:00:00 -0400 2013,27,10,30,1326009,42,32,12,2013-04-17 04:00:00 UTC
66,53,49,1368763200,57,16,1,61,80,38,21, ,http://www.montanalottery.com/wi,19,55,4,1366120800,65,45,Fri May 17 00:00:00 -0400 2013,24,8,28,1325893,40,34,11,2013-04-16 14:00:00 UTC
75,51,50,1368763200,61,21,1,63,78,37,22, ,http://www.montanalottery.com/wi,19,55,8,1366084800,72,48,Fri May 17 00:00:00 -0400 2013,26,16,30,1325832,39,35,17,2013-04-16 04:00:00 UTC
67,47,41,1368763200,58,23,1,63,68,33,24, ,http://www.montanalottery.com/wi,19,57,6,1366034400,66,40,Fri May 17 00:00:00 -0400 2013,27,8,29,1325706,37,30,18,2013-04-15 14:00:00 UTC
72,47,45,1368763200,63,11,1,67,76,31,13, ,http://www.montanalottery.com/wi,19,55,5,1365998400,71,44,Fri May 17 00:00:00 -0400 2013,16,8,17,1325646,34,25,9,2013-04-15 04:00:00 UTC
75,62,61,1368763200,68,24,3,69,80,37,25, ,http://www.montanalottery.com/wi,19,64,7,1365948000,71,60,Fri May 17 00:00:00 -0400 2013,29,15,31,1325534,56,32,17,2013-04-14 14:00:00 UTC
75,58,52,1368763200,64,31,2,67,76,45,32, ,http://www.montanalottery.com/wi,19,63,13,1365912000,73,51,Fri May 17 00:00:00 -0400 2013,38,21,40,1325484,49,43,27,2013-04-14 04:00:00 UTC
70,61,60,1368763200,64,33,10,65,78,43,34, ,http://www.montanalottery.com/wi,19,63,12,1365861600,69,58,Fri May 17 00:00:00 -0400 2013,36,14,40,1325326,47,42,18,2013-04-13 14:00:00 UTC
70,39,32,1368763200,58,14,3,61,77,29,15, ,http://www.montanalottery.com/wi,19,44,7,1365825600,67,31,Fri May 17 00:00:00 -0400 2013,25,8,26,1325262,30,28,10,2013-04-13 04:00:00 UTC
77,46,42,1368763200,51,16,6,74,79,33,20, ,http://www.montanalottery.com/wi,19,48,10,1365775200,76,40,Fri May 17 00:00:00 -0400 2013,22,14,26,1325117,36,29,15,2013-04-12 14:00:00 UTC
79,61,59,1368763200,65,18,1,69,80,45,21, ,http://www.montanalottery.com/wi,19,64,2,1365739200,72,58,Fri May 17 00:00:00 -0400 2013,23,5,28,1325053,52,33,10,2013-04-12 04:00:00 UTC
69,58,55,1368763200,64,19,4,65,72,40,26, ,http://www.montanalottery.com/wi,19,59,6,1365688800,68,49,Fri May 17 00:00:00 -0400 2013,27,8,36,1324919,42,37,18,2013-04-11 14:00:00 UTC
70,56,48,1368763200,61,21,5,64,71,44,24, ,http://www.montanalottery.com/wi,19,60,11,1365652800,69,46,Fri May 17 00:00:00 -0400 2013,32,17,37,1324861,45,41,20,2013-04-11 04:00:00 UTC
71,55,49,1368763200,57,14,1,59,73,35,17, ,http://www.montanalottery.com/wi,19,56,6,1365602400,68,43,Fri May 17 00:00:00 -0400 2013,21,9,28,1324698,42,34,10,2013-04-10 14:00:00 UTC
65,37,35,1368763200,46,14,1,47,75,26,17, ,http://www.montanalottery.com/wi,19,38,6,1365566400,49,31,Fri May 17 00:00:00 -0400 2013,18,11,21,1324567,29,22,12,2013-04-10 04:00:00 UTC
70,47,45,1368763200,60,25,3,62,73,35,27, ,http://www.montanalottery.com/wi,19,49,5,1365516000,63,43,Fri May 17 00:00:00 -0400 2013,29,8,31,1324513,39,34,12,2013-04-09 14:00:00 UTC
78,62,61,1368763200,74,19,13,75,80,46,24, ,http://www.montanalottery.com/wi,19,64,16,1365480000,77,58,Fri May 17 00:00:00 -0400 2013,28,17,29,1324435,49,39,18,2013-04-09 04:00:00 UTC
