1450952,12/18/2014, $5,000,7,6,9,5
1450899,12/18/2014, $5,000,2,1,2,9
1450755,12/17/2014, $5,000,6,2,4,3
1450696,12/17/2014, $5,000,1,9,7,5
1450583,12/16/2014, $5,000,6,4,4,7
1450524,12/16/2014, $5,000,3,0,4,9
1450400,12/15/2014, $5,000,6,1,6,4
1450336,12/15/2014, $5,000,6,2,3,6
1450241,12/14/2014, $5,000,8,8,3,2
1450194,12/14/2014, $5,000,7,0,6,6
1450050,12/13/2014, $5,000,8,5,9,2
1449987,12/13/2014, $5,000,3,4,1,3
1449866,12/12/2014, $5,000,1,5,1,9
1449805,12/12/2014, $5,000,0,0,7,9
1449692,12/11/2014, $5,000,4,9,1,7
1449631,12/11/2014, $5,000,2,1,0,6
1449486,12/10/2014, $5,000,8,3,0,8
1449420,12/10/2014, $5,000,7,2,4,2
1449306,12/09/2014, $5,000,8,3,2,2
1449247,12/09/2014, $5,000,1,4,2,9
1449124,12/08/2014, $5,000,6,6,6,3
1449060,12/08/2014, $5,000,0,2,9,7
1448962,12/07/2014, $5,000,3,8,6,5
1448916,12/07/2014, $5,000,2,1,5,8
1448773,12/06/2014, $5,000,2,9,0,8
1448708,12/06/2014, $5,000,4,2,6,9
1448590,12/05/2014, $5,000,6,3,7,4
1448528,12/05/2014, $5,000,2,5,2,2
1448413,12/04/2014, $5,000,2,0,7,8
1448352,12/04/2014, $5,000,6,0,2,5
1448207,12/03/2014, $5,000,8,2,4,2
1448141,12/03/2014, $5,000,1,4,2,5
1448026,12/02/2014, $5,000,4,6,1,4
1447890,12/02/2014, $5,000,8,6,1,7
1447841,12/01/2014, $5,000,3,0,0,3
1447783,12/01/2014, $5,000,8,4,3,5
1447685,11/30/2014, $5,000,9,4,1,2
1447639,11/30/2014, $5,000,3,0,3,6
1447498,11/29/2014, $5,000,4,8,7,7
1447431,11/29/2014, $5,000,8,7,7,1
1447307,11/28/2014, $5,000,3,6,4,5
1447245,11/28/2014, $5,000,3,7,3,2
1447131,11/27/2014, $5,000,8,1,1,7
1447069,11/27/2014, $5,000,3,1,3,9
1446923,11/26/2014, $5,000,2,0,1,9
1446856,11/26/2014, $5,000,7,4,6,9
1446739,11/25/2014, $5,000,6,0,8,1
1446678,11/25/2014, $5,000,1,0,4,6
1446553,11/24/2014, $5,000,1,7,3,2
1446491,11/24/2014, $5,000,1,6,4,6
1446382,11/23/2014, $5,000,0,2,1,7
1446346,11/23/2014, $5,000,5,9,5,9
1446201,11/22/2014, $5,000,3,2,2,3
1446137,11/22/2014, $5,000,3,5,1,7
1446012,11/21/2014, $5,000,9,3,2,6
1445951,11/21/2014, $5,000,9,3,9,9
1445833,11/20/2014, $5,000,7,3,4,5
1445771,11/20/2014, $5,000,4,6,6,1
1445623,11/19/2014, $5,000,7,6,3,1
1445558,11/19/2014, $5,000,7,8,0,8
1445442,11/18/2014, $5,000,6,9,5,6
1445381,11/18/2014, $5,000,4,4,8,5
1445256,11/17/2014, $5,000,3,2,7,8
1445193,11/17/2014, $5,000,2,6,5,0
1445091,11/16/2014, $5,000,7,5,2,4
1445046,11/16/2014, $5,000,6,5,5,0
1444900,11/15/2014, $5,000,6,0,8,9
1444835,11/15/2014, $5,000,2,0,8,4
