1478251,12/04/2015,,0,3,3
1478220,12/03/2015,,9,2,8
1478177,12/03/2015,,0,0
1478219,12/03/2015,,2,3,4
1478179,12/02/2015,,8,8,3
1478146,12/02/2015,,0,0
1478178,12/02/2015,,5,1,2
1478148,12/01/2015,,2,2,7
1478115,12/01/2015,,0,0
1478147,12/01/2015,,1,7,1
1478117,11/30/2015,,0,6,7
1478085,11/30/2015,,0,0
1478116,11/30/2015,,2,9,9
1478087,11/29/2015,,2,4,9
1478040,11/29/2015,,0,0
1478086,11/29/2015,,7,3,1
1478042,11/28/2015,,9,7,4
1478008,11/28/2015,,0,0
1478041,11/28/2015,,1,9,4
1478010,11/27/2015,,3,5,3
1477975,11/27/2015,,0,0
1478009,11/27/2015,,9,1,8
1477977,11/26/2015,,3,8,0
1477933,11/26/2015,,0,0
1477976,11/26/2015,,7,3,8
1477935,11/25/2015,,2,6,3
1477903,11/25/2015,,0,0
1477934,11/25/2015,,1,9,2
1477905,11/24/2015,,3,9,8
1477872,11/24/2015,,0,0
1477904,11/24/2015,,4,6,8
1477874,11/23/2015,,1,9,7
1477842,11/23/2015,,0,0
1477873,11/23/2015,,8,2,9
1477844,11/22/2015,,0,2,7
1477780,11/22/2015,,0,0
1477843,11/22/2015,,1,2,0
1477782,11/21/2015,,0,5,7
1477761,11/21/2015,,0,0
1477781,11/21/2015,,3,8,6
1477763,11/20/2015,,9,3,7
1477762,11/20/2015,,4,4,8
1477765,11/19/2015,,9,9,0
1477691,11/19/2015,,0,0
1477764,11/19/2015,,6,0,3
1477693,11/18/2015,,5,1,4
1477660,11/18/2015,,0,0
1477692,11/18/2015,,1,3,0
1477662,11/17/2015,,1,6,2
1477628,11/17/2015,,0,0
1477661,11/17/2015,,3,4,3
1477630,11/16/2015,,2,8,4
1477594,11/16/2015,,0,0
1477629,11/16/2015,,3,5,1
1477596,11/15/2015,,5,7,3
1477554,11/15/2015,,0,0
1477595,11/15/2015,,3,2,3
1477556,11/14/2015,,5,1,7
1477518,11/14/2015,,0,0
1477555,11/14/2015,,8,2,0
1477520,11/13/2015,,6,6,5
1477489,11/13/2015,,0,0
1477519,11/13/2015,,7,6,4
1477491,11/12/2015,,3,4,6
1477448,11/12/2015,,0,0
