1423390,07/23/2014, $100,000,1,2,3,9,11,17,22,28,49,55,58,59,60,62,63,68,72,74,76,77
1423192,07/22/2014, $100,000,4,8,9,16,21,24,25,33,35,40,42,49,55,58,62,64,71,72,73,75
1423013,07/21/2014, $100,000,1,2,5,9,17,21,33,34,36,48,54,60,63,65,68,70,76,78,79,80
1422840,07/20/2014, $100,000,3,6,12,20,23,24,27,29,33,35,39,42,44,49,62,66,69,73,79,80
1422675,07/19/2014, $100,000,5,7,15,16,25,26,29,34,35,36,39,47,48,54,57,62,64,66,68,72
1422472,07/18/2014, $100,000,2,3,8,17,19,20,21,28,33,39,42,45,50,56,58,64,65,70,74,77
1422294,07/17/2014, $100,000,3,6,9,14,17,25,26,27,28,29,39,44,46,49,50,51,54,68,69,79
1422103,07/16/2014, $100,000,6,13,17,19,20,21,23,24,30,35,37,39,41,49,61,63,67,74,75,78
1421904,07/15/2014, $100,000,2,4,15,21,24,32,40,41,42,50,55,56,59,61,62,64,68,69,73,80
1421724,07/14/2014, $100,000,7,19,22,28,30,34,35,37,44,46,49,52,53,55,56,58,63,68,76,77
1421550,07/13/2014, $100,000,3,5,6,10,11,16,18,23,30,31,34,39,44,46,47,49,50,53,78,80
1421382,07/12/2014, $100,000,1,4,7,12,18,20,32,33,35,38,42,46,47,52,54,57,59,66,69,77
1421179,07/11/2014, $100,000,5,6,8,12,14,18,19,33,40,45,49,51,55,57,61,66,68,70,74,79
1421005,07/10/2014, $100,000,2,4,8,21,24,26,28,29,30,33,35,39,43,45,46,48,54,73,74,77
1420817,07/09/2014, $100,000,2,3,7,12,18,23,33,36,38,40,49,51,58,62,63,64,67,75,79,80
1420618,07/08/2014, $100,000,2,22,30,31,33,39,40,43,45,48,49,53,59,62,70,72,77,78,79,80
1420444,07/07/2014, $100,000,4,5,14,15,20,21,27,30,32,36,44,48,52,55,56,63,71,72,77,78
1420274,07/06/2014, $100,000,2,4,8,10,12,13,26,28,32,33,36,43,48,51,55,57,66,70,77,78
1420106,07/05/2014, $100,000,1,2,18,22,23,33,35,38,42,43,44,47,48,60,61,71,75,77,78,79
1419911,07/04/2014, $100,000,1,4,11,14,25,27,30,33,39,46,50,56,65,66,68,69,73,75,76,77
1419741,07/03/2014, $100,000,1,4,7,11,17,20,21,25,28,36,40,44,54,59,60,64,71,72,78,79
1419552,07/02/2014, $100,000,11,14,20,21,26,30,41,43,45,47,52,54,55,59,63,65,67,70,74,79
1419355,07/01/2014, $100,000,1,6,11,13,17,19,20,22,24,31,35,44,52,54,56,61,63,64,78,80
1419179,06/30/2014, $100,000,3,6,10,12,13,15,16,23,29,43,45,47,49,53,58,65,67,70,77,78
1419008,06/29/2014, $100,000,5,8,11,15,16,19,20,29,31,36,40,41,42,44,47,49,53,62,64,76
1418844,06/28/2014, $100,000,2,7,9,14,19,20,27,28,29,30,31,34,46,48,53,56,57,65,72,78
1418647,06/27/2014, $100,000,6,11,12,20,21,23,28,29,37,39,42,45,46,50,52,53,66,71,75,78
1418462,06/26/2014, $100,000,7,13,17,18,19,24,30,40,45,54,55,56,57,66,69,70,74,76,77,79
1418297,06/25/2014, $100,000,3,7,10,14,16,20,21,26,27,41,43,45,48,56,63,64,65,67,68,69
1418095,06/24/2014, $100,000,2,8,9,15,18,29,30,31,35,41,49,51,56,57,65,67,68,75,76,79
1417921,06/23/2014, $100,000,1,13,20,21,29,30,31,32,33,42,45,47,50,55,57,65,70,72,74,79
1417754,06/22/2014, $100,000,3,10,11,13,15,19,24,25,26,28,33,37,40,47,53,56,62,67,73,78
