55,35,34,1368763200,39,15,1,40,62,31,19, $250,000,99,76,38,9,1366344000,53,33,Fri May 17 00:00:00 -0400 2013,20,10,23,1326521,72,32,26,14,2013-04-19 04:00:00 UTC
76,60,55,1368763200,64,28,5,66,77,51,29, $250,000,99,80,61,7,1366257600,67,53,Fri May 17 00:00:00 -0400 2013,38,14,45,1326335,79,52,48,26,2013-04-18 04:00:00 UTC
69,42,36,1368763200,55,21,11,61,71,33,22, $250,000,99,80,54,12,1366171200,64,35,Fri May 17 00:00:00 -0400 2013,24,13,27,1326134,79,34,29,15,2013-04-17 04:00:00 UTC
66,51,49,1368763200,56,20,5,59,67,36,27, $250,000,99,75,53,8,1366084800,60,42,Fri May 17 00:00:00 -0400 2013,28,11,31,1325935,74,37,34,14,2013-04-16 04:00:00 UTC
63,51,50,1368763200,58,19,2,60,69,45,28, $250,000,99,78,52,5,1365998400,61,49,Fri May 17 00:00:00 -0400 2013,36,12,42,1325753,70,47,44,15,2013-04-15 04:00:00 UTC
72,61,58,1368763200,66,15,2,68,74,45,18, $250,000,99,78,62,6,1365912000,69,57,Fri May 17 00:00:00 -0400 2013,31,7,36,1325573,76,56,37,14,2013-04-14 04:00:00 UTC
64,51,49,1368763200,58,11,2,62,66,41,19, $250,000,99,74,57,3,1365825600,63,47,Fri May 17 00:00:00 -0400 2013,22,4,28,1325380,67,45,39,8,2013-04-13 04:00:00 UTC
63,46,45,1368763200,60,15,4,61,66,30,16, $250,000,99,80,49,8,1365739200,62,39,Fri May 17 00:00:00 -0400 2013,17,10,25,1325161,67,33,29,14,2013-04-12 04:00:00 UTC
71,42,27,1368763200,55,8,1,59,72,18,9, $250,000,99,77,44,2,1365652800,61,26,Fri May 17 00:00:00 -0400 2013,10,4,11,1324960,75,22,12,6,2013-04-11 04:00:00 UTC
62,44,42,1368763200,47,19,4,49,64,28,21, $250,000,99,72,46,6,1365566400,52,37,Fri May 17 00:00:00 -0400 2013,25,9,26,1324755,69,35,27,10,2013-04-10 04:00:00 UTC
69,49,40,1368763200,52,18,3,56,70,33,19, $250,000,99,80,51,4,1365480000,66,39,Fri May 17 00:00:00 -0400 2013,21,5,22,1324616,76,35,26,9,2013-04-09 04:00:00 UTC
60,46,43,1368763200,52,6,1,56,65,28,8, $250,000,99,80,47,3,1365393600,57,38,Fri May 17 00:00:00 -0400 2013,12,4,21,1324342,77,37,25,5,2013-04-08 04:00:00 UTC
67,45,43,1368763200,55,12,2,63,71,33,14, $250,000,99,74,53,4,1365307200,65,41,Fri May 17 00:00:00 -0400 2013,19,7,23,1324161,73,37,30,9,2013-04-07 04:00:00 UTC
58,37,36,1368763200,39,14,2,40,65,32,20, $250,000,99,75,38,9,1365220800,49,35,Fri May 17 00:00:00 -0400 2013,23,11,24,1323969,69,33,26,12,2013-04-06 04:00:00 UTC
68,38,37,1368763200,53,10,1,58,69,27,12, $250,000,99,72,45,6,1365134400,62,33,Fri May 17 00:00:00 -0400 2013,13,7,21,1323750,71,30,22,9,2013-04-05 04:00:00 UTC
65,43,39,1368763200,47,23,1,50,68,32,24, $250,000,99,80,46,2,1365048000,60,36,Fri May 17 00:00:00 -0400 2013,26,14,28,1323556,69,35,30,18,2013-04-04 04:00:00 UTC
66,50,46,1368763200,59,18,1,60,72,37,20, $250,000,99,79,52,4,1364961600,62,41,Fri May 17 00:00:00 -0400 2013,23,9,30,1323345,74,39,33,14,2013-04-03 04:00:00 UTC
71,51,46,1368763200,55,16,5,56,75,32,20, $250,000,99,77,54,9,1364875200,66,44,Fri May 17 00:00:00 -0400 2013,25,12,26,1323128,76,38,30,14,2013-04-02 04:00:00 UTC
63,42,41,1368763200,51,23,2,55,66,34,24, $250,000,99,79,50,7,1364788800,59,40,Fri May 17 00:00:00 -0400 2013,28,14,29,1322929,69,39,33,22,2013-04-01 04:00:00 UTC
67,42,40,1368763200,56,10,1,59,76,36,24, $250,000,99,80,53,5,1364702400,65,39,Fri May 17 00:00:00 -0400 2013,29,6,30,1322811,79,37,33,9,2013-03-31 04:00:00 UTC
73,54,53,1368763200,61,16,10,65,76,27,19, $250,000,99,80,57,11,1364616000,66,50,Fri May 17 00:00:00 -0400 2013,22,12,23,1322553,78,46,24,14,2013-03-30 04:00:00 UTC
67,56,55,1368763200,60,23,13,61,69,38,28, $250,000,99,75,58,15,1364529600,63,53,Fri May 17 00:00:00 -0400 2013,30,16,34,1322340,70,45,36,20,2013-03-29 04:00:00 UTC
65,45,41,1368763200,47,18,4,50,68,26,19, $250,000,99,80,46,9,1364443200,51,36,Fri May 17 00:00:00 -0400 2013,20,12,22,1322126,79,31,24,15,2013-03-28 04:00:00 UTC
63,41,40,1368763200,48,21,8,58,72,33,23, $250,000,99,79,42,11,1364356800,61,38,Fri May 17 00:00:00 -0400 2013,25,12,27,1321946,76,36,30,15,2013-03-27 04:00:00 UTC
