90,68,53,1368763200,77,24,0,78,91,44,32,http://www.lottobrazil.com,278,69,7,1296025200,81,47,Fri May 17 00:00:00 -0400 2013,33,17,38,621295,45,43,23,2011-01-26 07:00:00 UTC
95,59,55,1368763200,74,31,4,83,96,48,38,http://www.lottobrazil.com,278,69,5,1295679600,85,53,Fri May 17 00:00:00 -0400 2013,39,8,41,620736,52,45,12,2011-01-22 07:00:00 UTC
89,66,63,1368763200,82,29,6,85,95,43,30,http://www.lottobrazil.com,278,73,14,1295420400,88,58,Fri May 17 00:00:00 -0400 2013,36,16,38,620737,55,42,24,2011-01-19 07:00:00 UTC
86,63,54,1368763200,65,33,8,70,99,48,35,http://www.lottobrazil.com,278,64,13,1295074800,85,50,Fri May 17 00:00:00 -0400 2013,43,22,46,620738,49,47,26,2011-01-15 07:00:00 UTC
97,83,80,1368763200,88,27,3,92,99,56,37,http://www.lottobrazil.com,278,84,13,1294815600,95,62,Fri May 17 00:00:00 -0400 2013,40,14,41,620739,61,50,22,2011-01-12 07:00:00 UTC
84,64,58,1368763200,77,35,1,81,94,53,36,http://www.lottobrazil.com,278,76,4,1294470000,82,56,Fri May 17 00:00:00 -0400 2013,45,15,48,620740,54,51,17,2011-01-08 07:00:00 UTC
97,82,73,1368763200,84,17,3,89,98,67,26,http://www.lottobrazil.com,278,83,8,1294210800,93,72,Fri May 17 00:00:00 -0400 2013,47,10,54,620741,69,64,12,2011-01-05 07:00:00 UTC
89,64,60,1368763200,75,21,1,80,99,51,25,http://www.lottobrazil.com,278,70,12,1293778800,82,57,Fri May 17 00:00:00 -0400 2013,30,14,33,620742,56,40,15,2010-12-31 07:00:00 UTC
94,64,57,1368763200,73,26,10,84,98,47,27,http://www.lottobrazil.com,278,70,21,1293606000,87,56,Fri May 17 00:00:00 -0400 2013,31,22,33,620743,48,46,23,2010-12-29 07:00:00 UTC
96,60,52,1368763200,70,26,3,73,98,36,28,http://www.lottobrazil.com,278,68,7,1293174000,76,44,Fri May 17 00:00:00 -0400 2013,31,13,32,620744,37,33,15,2010-12-24 07:00:00 UTC
79,48,38,1368763200,59,10,0,64,81,23,13,http://www.lottobrazil.com,278,54,2,1293001200,73,37,Fri May 17 00:00:00 -0400 2013,14,4,16,620745,33,17,7,2010-12-22 07:00:00 UTC
94,68,67,1368763200,82,17,1,87,95,45,29,http://www.lottobrazil.com,278,71,4,1292655600,91,53,Fri May 17 00:00:00 -0400 2013,32,6,37,620746,46,42,10,2010-12-18 07:00:00 UTC
92,65,61,1368763200,79,20,1,89,97,41,21,http://www.lottobrazil.com,278,78,9,1292396400,91,51,Fri May 17 00:00:00 -0400 2013,37,10,39,620747,44,40,13,2010-12-15 07:00:00 UTC
90,58,50,1368763200,66,8,0,76,99,40,9,http://www.lottobrazil.com,278,65,4,1292050800,86,48,Fri May 17 00:00:00 -0400 2013,10,5,12,620748,46,27,6,2010-12-11 07:00:00 UTC
89,66,64,1368763200,75,26,9,81,92,50,32,http://www.lottobrazil.com,278,73,13,1291791600,86,56,Fri May 17 00:00:00 -0400 2013,34,21,35,620749,51,44,23,2010-12-08 07:00:00 UTC
85,73,67,1368763200,78,25,5,79,88,57,29,http://www.lottobrazil.com,278,77,15,1291446000,84,65,Fri May 17 00:00:00 -0400 2013,45,20,49,620750,64,50,23,2010-12-04 07:00:00 UTC
98,78,77,1368763200,83,25,1,87,99,63,39,http://www.lottobrazil.com,278,82,2,1291186800,93,73,Fri May 17 00:00:00 -0400 2013,43,8,44,620751,69,60,21,2010-12-01 07:00:00 UTC
87,55,54,1368763200,68,22,2,75,90,48,27,http://www.lottobrazil.com,278,58,5,1290841200,79,52,Fri May 17 00:00:00 -0400 2013,29,6,46,620752,49,47,14,2010-11-27 07:00:00 UTC
95,79,78,1368763200,83,53,27,86,96,63,54,http://www.lottobrazil.com,278,80,28,1290582000,87,74,Fri May 17 00:00:00 -0400 2013,57,42,59,620753,65,61,44,2010-11-24 07:00:00 UTC
92,61,59,1368763200,68,9,0,82,94,47,16,http://www.lottobrazil.com,278,63,1,1290236400,89,51,Fri May 17 00:00:00 -0400 2013,19,3,28,620754,50,35,8,2010-11-20 07:00:00 UTC
93,76,74,1368763200,84,34,4,85,99,55,35,http://www.lottobrazil.com,278,83,7,1289977200,89,64,Fri May 17 00:00:00 -0400 2013,38,22,43,620755,61,49,28,2010-11-17 07:00:00 UTC
92,57,56,1368763200,61,21,0,80,95,42,29,http://www.lottobrazil.com,278,58,1,1289631600,84,47,Fri May 17 00:00:00 -0400 2013,35,7,38,620756,43,40,19,2010-11-13 07:00:00 UTC
90,62,57,1368763200,76,26,5,87,91,46,30,http://www.lottobrazil.com,278,72,7,1289372400,89,55,Fri May 17 00:00:00 -0400 2013,40,16,41,620757,52,45,19,2010-11-10 07:00:00 UTC
98,72,69,1368763200,78,20,3,83,99,57,25,http://www.lottobrazil.com,278,74,15,1289023200,96,66,Fri May 17 00:00:00 -0400 2013,27,16,38,620758,58,44,19,2010-11-06 06:00:00 UTC
93,64,63,1368763200,83,27,7,86,96,44,33,http://www.lottobrazil.com,278,82,9,1288764000,92,61,Fri May 17 00:00:00 -0400 2013,34,11,38,620759,56,42,17,2010-11-03 06:00:00 UTC
91,72,64,1368763200,77,42,11,81,93,56,45,http://www.lottobrazil.com,278,75,26,1288418400,85,59,Fri May 17 00:00:00 -0400 2013,46,35,52,620760,57,53,38,2010-10-30 06:00:00 UTC
