1385990,01/06/2014, $5,000,6,2,9,9
1385917,01/05/2014, $5,000,4,9,8,7
1385833,01/05/2014, $5,000,4,0,4,6
1385762,01/04/2014, $5,000,0,9,6,2
1385634,01/04/2014, $5,000,6,3,3,7
1385550,01/03/2014, $5,000,0,9,6,0
1385446,01/03/2014, $5,000,1,7,5,7
1385374,01/02/2014, $5,000,1,9,2,4
1385271,01/02/2014, $5,000,7,8,6,2
1385187,01/01/2014, $5,000,8,8,4,4
1385062,01/01/2014, $5,000,9,3,4,9
1384987,12/31/2013, $5,000,2,1,7,8
1384888,12/31/2013, $5,000,5,5,1,7
1384813,12/30/2013, $5,000,6,4,4,3
1384701,12/30/2013, $5,000,4,3,1,4
1384632,12/29/2013, $5,000,7,3,1,6
1384546,12/29/2013, $5,000,3,8,1,6
1384479,12/28/2013, $5,000,7,7,6,8
1384350,12/28/2013, $5,000,1,8,8,8
1384247,12/27/2013, $5,000,0,2,7,4
1384144,12/27/2013, $5,000,6,4,1,9
1384069,12/26/2013, $5,000,6,4,1,8
1383965,12/26/2013, $5,000,3,8,4,4
1383889,12/25/2013, $5,000,5,6,8,9
1383769,12/25/2013, $5,000,9,2,6,3
1383702,12/24/2013, $5,000,3,5,2,8
1383601,12/24/2013, $5,000,3,1,4,6
1383528,12/23/2013, $5,000,1,6,1,7
1383418,12/23/2013, $5,000,9,7,2,6
1383345,12/22/2013, $5,000,4,4,5,5
1383261,12/22/2013, $5,000,6,6,1,4
1383188,12/21/2013, $5,000,1,6,5,3
1383061,12/21/2013, $5,000,7,0,6,1
1382973,12/20/2013, $5,000,9,2,8,1
1382871,12/20/2013, $5,000,1,5,4,6
1382796,12/19/2013, $5,000,5,6,4,5
1382692,12/19/2013, $5,000,1,0,8,2
1382615,12/18/2013, $5,000,2,3,9,1
1382482,12/18/2013, $5,000,9,0,6,9
1382398,12/17/2013, $5,000,5,3,8,6
1382264,12/17/2013, $5,000,5,9,6,4
1382263,12/16/2013, $5,000,9,5,8,1
1382096,12/16/2013, $5,000,1,8,9,9
1382023,12/15/2013, $5,000,9,0,2,7
1381939,12/15/2013, $5,000,0,2,3,7
1381867,12/14/2013, $5,000,0,0,4,9
1381717,12/14/2013, $5,000,9,5,1,8
1381716,12/13/2013, $5,000,8,6,4,5
1381552,12/13/2013, $5,000,8,1,7,0
1381474,12/12/2013, $5,000,3,2,5,3
1381372,12/12/2013, $5,000,3,2,4,8
1381290,12/11/2013, $5,000,6,1,7,0
1381157,12/11/2013, $5,000,9,4,8,0
1381076,12/10/2013, $5,000,1,9,9,9
1380978,12/10/2013, $5,000,8,5,0,1
1380900,12/09/2013, $5,000,5,7,7,4
